actor_name,actor_facebook_likes,selected
CCH Pounder,1000.0,False
Johnny Depp,40000.0,False
Christoph Waltz,11000.0,False
Tom Hardy,27000.0,False
Daryl Sabara,640.0,False
J.K. Simmons,24000.0,False
Brad Garrett,799.0,False
Chris Hemsworth,26000.0,False
Alan Rickman,25000.0,False
Henry Cavill,15000.0,False
Kevin Spacey,18000.0,False
Giancarlo Giannini,451.0,False
Johnny Depp,40000.0,False
Johnny Depp,40000.0,False
Henry Cavill,15000.0,False
Peter Dinklage,22000.0,False
Chris Hemsworth,26000.0,False
Johnny Depp,40000.0,False
Will Smith,10000.0,False
Aidan Turner,5000.0,False
Emma Stone,15000.0,False
Mark Addy,891.0,False
Aidan Turner,5000.0,False
Christopher Lee,16000.0,False
Naomi Watts,6000.0,False
Leonardo DiCaprio,29000.0,False
Robert Downey Jr.,21000.0,False
Liam Neeson,14000.0,False
Bryce Dallas Howard,3000.0,False
Albert Finney,883.0,False
J.K. Simmons,24000.0,False
Robert Downey Jr.,21000.0,False
Johnny Depp,40000.0,False
Hugh Jackman,20000.0,False
Steve Buscemi,12000.0,False
Glenn Morshower,894.0,False
Bingbing Li,974.0,False
Tim Holmes,44000.0,False
Emma Stone,15000.0,False
Jeff Bridges,12000.0,False
Joe Mantegna,1000.0,False
Ryan Reynolds,16000.0,False
Tom Hanks,15000.0,False
Christian Bale,23000.0,False
Jason Statham,26000.0,False
Peter Capaldi,17000.0,False
Jennifer Lawrence,34000.0,False
Benedict Cumberbatch,19000.0,False
Eddie Marsan,979.0,False
Leonardo DiCaprio,29000.0,False
Jake Gyllenhaal,15000.0,False
Charlie Hunnam,16000.0,False
Glenn Morshower,894.0,False
Harrison Ford,11000.0,False
Kelly Macdonald,2000.0,False
Sofia Boutella,998.0,False
John Ratzenberger,1000.0,False
Tzi Ma,268.0,False
Oliver Platt,1000.0,False
Robin Wright,18000.0,False
Channing Tatum,17000.0,False
Christoph Waltz,11000.0,False
Jim Broadbent,1000.0,False
Jennifer Lawrence,34000.0,False
Christian Bale,23000.0,False
John Ratzenberger,1000.0,False
Amy Poehler,1000.0,False
Robert Downey Jr.,21000.0,False
Chloë Grace Moretz,17000.0,False
Will Smith,10000.0,False
Jet Li,5000.0,False
Will Smith,10000.0,False
Jimmy Bennett,87000.0,False
Tom Cruise,10000.0,False
Jeanne Tripplehorn,711.0,False
Joseph Gordon-Levitt,23000.0,False
Amy Poehler,1000.0,False
Scarlett Johansson,19000.0,False
Robert Downey Jr.,21000.0,False
Chris Hemsworth,26000.0,False
Angelina Jolie Pitt,11000.0,False
Gary Oldman,10000.0,False
Keanu Reeves,18000.0,False
Scarlett Johansson,19000.0,False
Jon Hamm,4000.0,False
Judy Greer,2000.0,False
Damon Wayans Jr.,756.0,False
Jack McBrayer,975.0,False
Tom Hanks,15000.0,False
Vivica A. Fox,890.0,False
Gerard Butler,18000.0,False
Nick Stahl,648.0,False
Bradley Cooper,14000.0,False
Matthew McConaughey,11000.0,False
