director_name,director_facebook_likes,selected
James Cameron,0.0,False
Gore Verbinski,563.0,False
Sam Mendes,0.0,False
Christopher Nolan,22000.0,False
Andrew Stanton,475.0,False
Sam Raimi,0.0,False
Nathan Greno,15.0,False
Joss Whedon,0.0,False
David Yates,282.0,False
Zack Snyder,0.0,False
Bryan Singer,0.0,False
Marc Forster,395.0,False
Gore Verbinski,563.0,False
Gore Verbinski,563.0,False
Zack Snyder,0.0,False
Andrew Adamson,80.0,False
Joss Whedon,0.0,False
Rob Marshall,252.0,False
Barry Sonnenfeld,188.0,False
Peter Jackson,0.0,False
Marc Webb,464.0,False
Ridley Scott,0.0,False
Peter Jackson,0.0,False
Chris Weitz,129.0,False
Peter Jackson,0.0,False
James Cameron,0.0,False
Anthony Russo,94.0,False
Peter Berg,532.0,False
Colin Trevorrow,365.0,False
Sam Mendes,0.0,False
Sam Raimi,0.0,False
Shane Black,1000.0,False
Tim Burton,13000.0,False
Brett Ratner,420.0,False
Dan Scanlon,37.0,False
Michael Bay,0.0,False
Michael Bay,0.0,False
Sam Raimi,0.0,False
Marc Webb,464.0,False
Joseph Kosinski,364.0,False
John Lasseter,487.0,False
Martin Campbell,258.0,False
Lee Unkrich,125.0,False
McG,368.0,False
James Wan,0.0,False
Marc Forster,395.0,False
Bryan Singer,0.0,False
J.J. Abrams,14000.0,False
Bryan Singer,0.0,False
Baz Luhrmann,1000.0,False
Mike Newell,179.0,False
Guillermo del Toro,0.0,False
Michael Bay,0.0,False
Steven Spielberg,14000.0,False
Mark Andrews,56.0,False
Justin Lin,681.0,False
Andrew Stanton,475.0,False
Brett Ratner,420.0,False
Roland Emmerich,776.0,False
Robert Zemeckis,0.0,False
Lana Wachowski,0.0,False
David Yates,282.0,False
Andrew Adamson,80.0,False
Bryan Singer,0.0,False
Christopher Nolan,22000.0,False
Pete Docter,0.0,False
Rob Letterman,11.0,False
Jon Favreau,4000.0,False
Martin Scorsese,17000.0,False
Barry Sonnenfeld,188.0,False
Rob Cohen,357.0,False
David Ayer,452.0,False
Tom Shadyac,293.0,False
Doug Liman,218.0,False
Kevin Reynolds,58.0,False
Stephen Sommers,208.0,False
Pete Docter,0.0,False
Jon Favreau,4000.0,False
Jon Favreau,4000.0,False
Rupert Sanders,274.0,False
Robert Stromberg,171.0,False
Matt Reeves,198.0,False
Carl Rinsch,47.0,False
Anthony Russo,94.0,False
Mike Mitchell,31.0,False
Brad Bird,663.0,False
Don Hall,38.0,False
Rich Moore,66.0,False
Robert Zemeckis,0.0,False
Roland Emmerich,776.0,False
Dean DeBlois,255.0,False
Jonathan Mostow,84.0,False
James Gunn,571.0,False
Christopher Nolan,22000.0,False
Christopher Nolan,22000.0,False
Rob Cohen,357.0,False
David Fincher,21000.0,False
Matthew Vaughn,905.0,False
Francis Lawrence,508.0,False
Jon Turteltaub,226.0,False
Wolfgang Petersen,249.0,False
James Bobin,33.0,False
